  0.000000000000000E+000  2.829435881811257E-003  2.833197426982799E-003
  8.453209655242426E-004  1.105638020285972E-003  1.104170100219029E-003
  0.000000000000000E+000  5.180022286897782E-003  5.571801384472212E-003
  4.383666525821247E-003  2.174361515891596E-003  2.021472111960114E-003
  0.000000000000000E+000
  0.000000000000000E+000  2.829435881811257E-003  2.833197426982799E-003
  8.453209655242426E-004  1.105638020285972E-003  1.104170100219029E-003
  0.000000000000000E+000  5.180022286897782E-003  5.571801384472212E-003
  4.383666525821247E-003  2.174361515891596E-003  2.021472111960114E-003
  0.000000000000000E+000
