Energy(eV)  cross_section(angstrom^2/1e-16cm^2)
53000
0.02000 7.342257182610286
0.02200 7.443134961568136
0.02400 7.536795105100871
0.02600 7.62403372803828
0.02800 7.7055340013253515
0.03000 7.781885494736318
0.03200 7.853599676087356
0.03400 7.921122429397425
0.03600 7.9848442401434845
0.03800 8.045108539555049
0.04000 8.102218584802978
0.04200 8.156443166277484
0.04400 8.208021368789701
0.04600 8.257166564743807
0.04799 8.30406978003471
0.04999 8.34890254469764
0.05199 8.391819318039579
0.05399 8.432959560557258
0.05599 8.472449511237976
0.05799 8.51040371798712
0.05999 8.546926360284012
0.06199 8.582112396246304
0.06399 8.61604856071037
0.06599 8.648814236424835
0.06799 8.68048221678659
0.06999 8.711119375551611
0.07199 8.74078725649345
0.07399 8.769542593954986
0.07599 8.797437773561436
0.07799 8.824521240968828
0.07999 8.850837865359791
0.08199 8.876429263425672
0.08399 8.901334088757018
0.08599 8.92558829087605
0.08799 8.949225347562619
0.08999 8.972276473631878
0.09199 8.99477080890193
0.09399 9.016735587731944
0.09599 9.038196292204905
0.09799 9.059176790766685
0.09999 9.07969946390726
0.10199 9.099785318275352
0.10398 9.119454090449711
0.10598 9.138724341444423
0.10798 9.157613542899433
0.10998 9.176138155797458
0.11198 9.194313702452469
0.11398 9.212154832431382
0.11598 9.229675382997154
0.11798 9.2468884345972
0.11998 9.26380636186464
0.12198 9.280440880550023
0.12398 9.296803090757454
0.12598 9.312903516820183
0.12798 9.328752144116537
0.12998 9.344358453096586
0.13198 9.35973145076306
0.13398 9.374879699825938
0.13598 9.389811345728882
0.13798 9.404534141726511
0.13998 9.41905547217465
0.14198 9.43338237418028
0.14398 9.447521557744519
0.14598 9.461479424519503
0.14798 9.475262085289247
0.14998 9.488875376274612
0.15198 9.502324874353615
0.15398 9.515615911280387
0.15598 9.528753586978743
0.15798 9.54174278197994
0.15997 9.554588169068158
0.16197 9.56729422419201
0.16397 9.579865236695465
0.16597 9.592305318917209
0.16797 9.60461841520347
0.16997 9.616808310375669
0.17197 9.628878637691045
0.17397 9.640832886331246
0.17597 9.652674408451302
0.17797 9.664406425818731
0.17997 9.676032036070348
0.18197 9.687554218612217
0.18397 9.69897584018627
0.18597 9.710299660125328
0.18797 9.721528335316727
0.18997 9.732664424893194
0.19197 9.743710394668343
0.19397 9.754668621332804
0.19597 9.765541396425975
0.19797 9.77633093009726
0.19997 9.787039354669659
0.20197 9.797668728017785
0.20397 9.808221036771442
0.20597 9.818698199355177
0.20797 9.82910206887356
0.20997 9.839434435851206
0.21197 9.84969703083609
0.21397 9.859891526873854
0.21596 9.870019541860751
0.21796 9.880082640781957
0.21996 9.890082337841715
0.22196 9.90002009849141
0.22396 9.909897341361292
0.22596 9.91971544010096
0.22796 9.929475725133807
0.22996 9.939179485329943
0.23196 9.948827969602034
0.23396 9.958422388428176
0.23596 9.967963915305608
0.23796 9.977453688139018
0.23996 9.986892810566705
0.24196 9.996282353227928
0.24396 10.005623354974428
0.24596 10.014916824028962
0.24796 10.024163739093513
0.24996 10.033365050409794
0.25196 10.042521680774302
0.25396 10.051634526510297
0.25596 10.060704458398739
0.25796 10.069732322570218
0.25996 10.078718941359801
0.26196 10.087665114126526
0.26396 10.096571618039283
0.26596 10.105439208830665
0.26796 10.1142686215203
0.26995 10.12306057110908
0.27195 10.131815753245684
0.27395 10.140534844866629
0.27595 10.149218504811122
0.27795 10.15786737441181
0.27995 10.166482078062538
0.28195 10.1750632237642
0.28395 10.18361140364957
0.28595 10.192127194488162
0.28795 10.200611158171883
0.28995 10.209063842182442
0.29195 10.21748578004121
0.29395 10.225877491742379
0.29595 10.234239484170057
0.29795 10.242572251500066
0.29995 10.25087627558703
0.30195 10.259152026337459
0.30395 10.267399962069282
0.30595 10.275620529858573
0.30795 10.283814165873839
0.30995 10.29198129569848
0.31195 10.300122334641925
0.31395 10.308237688039782
0.31595 10.316327751543607
0.31795 10.324392911400603
0.31995 10.332433544723688
0.32195 10.34045001975232
0.32395 10.34844269610446
0.32594 10.356411925019968
0.32794 10.364358049595845
0.32994 10.37228140501357
0.33194 10.380182318758889
0.33394 10.388061110834336
0.33594 10.395918093964717
0.33794 10.403753573795917
0.33994 10.411567849087204
0.34194 10.419361211897307
0.34394 10.427133947764512
0.34594 10.434886335880956
0.34794 10.442618649261446
0.34994 10.450331154906802
0.35194 10.458024113962175
0.35394 10.465697781870308
0.35594 10.473352408520068
0.35794 10.480988238390344
0.35994 10.4886055106895
0.36194 10.496204459490556
0.36394 10.503785313862236
0.36594 10.511348297996012
0.36794 10.518893631329334
0.36994 10.526421528665114
0.37194 10.533932200287676
0.37394 10.541425852075205
0.37594 10.548902685608898
0.37794 10.556362898278852
0.37994 10.563806683386916
0.38193 10.571234230246446
0.38393 10.57864572427922
0.38593 10.58604134710953
0.38793 10.593421276655585
0.38993 10.60078568721824
0.39193 10.608134749567276
0.39393 10.615468631025143
0.39593 10.622787495548412
0.39793 10.630091503806879
0.39993 10.637380813260508
0.40193 10.64465557823418
0.40393 10.651915949990402
0.40593 10.659162076800008
0.40793 10.666394104010898
0.40993 10.673612174114908
