Energy(eV)  cross_section(angstrom^2/1e-16cm^2)
53000
0.55000 0.010068248081786805
0.55199 0.010350666872280315
0.55398 0.010633235786381338
0.55597 0.010915956980086934
0.55796 0.011198832682537095
0.55995 0.011481865197381681
0.56193 0.011765056904164153
0.56392 0.012048410259718822
0.56591 0.012331927799584102
0.56790 0.012615612139430306
0.56989 0.012899465976502567
0.57188 0.013183492091077295
0.57387 0.013467693347934635
0.57586 0.013752072697843237
0.57785 0.014036633179059763
0.57984 0.014321377918842552
0.58182 0.014606310134977136
0.58381 0.014891433137316171
0.58580 0.015176750329331409
0.58779 0.015462265209677813
0.58978 0.015747981373770384
0.59177 0.016033902515372143
0.59376 0.01632003242819259
0.59575 0.016606375007498977
0.59774 0.016892934251735634
0.59973 0.017179714264153677
0.60172 0.0174667192544516
0.60370 0.017753953540422245
0.60569 0.01804142154960932
0.60768 0.018329127820971798
0.60967 0.01861707700655391
0.61166 0.018905273873162556
0.61365 0.01919372330405017
0.61564 0.01948243030060199
0.61763 0.019771399984027528
0.61962 0.020060637597056043
0.62161 0.02035014850563404
0.62359 0.020639938200623556
0.62558 0.020930012299503097
0.62757 0.021220376548066897
0.62956 0.021511036822122964
0.63155 0.021801999129190782
0.63354 0.022093269610193075
0.63553 0.02238485454114537
0.63752 0.02267676033483955
0.63951 0.022968993542520563
0.64150 0.023261560855555162
0.64348 0.023554469107092756
0.64547 0.023847725273713954
0.64746 0.024141336477069255
0.64945 0.024435309985504222
0.65144 0.024729653215668168
0.65343 0.025024373734110702
0.65542 0.02531947925885712
0.65741 0.025614977660965696
0.65940 0.025910876966066396
0.66139 0.02620718535587391
0.66338 0.02650391116967882
0.66536 0.02680106290581162
0.66735 0.027098649223080955
0.66934 0.027396678942179252
0.67133 0.02769516104705955
0.67332 0.027994104686278325
0.67531 0.028293519174301358
0.67730 0.028593413992774052
0.67929 0.02889379879175142
0.68128 0.02919468339088518
0.68327 0.02949607778056887
0.68525 0.029797992123034616
0.68724 0.030100436753403008
0.68923 0.030403422180680626
0.69122 0.030706959088706118
0.69321 0.03101105833703688
0.69520 0.03131573096178229
0.69719 0.03162098817637125
0.69918 0.03192684137226006
0.70117 0.03223330211957119
0.70316 0.03254038216766503
0.70515 0.03284809344563993
0.70713 0.03315644806275695
0.70912 0.033465458308788
0.71111 0.033775136654284464
0.71310 0.03408549575076231
0.71509 0.03439654843080109
0.71708 0.03470830770805509
0.71907 0.0350207867771724
0.72106 0.0353339990136182
0.72305 0.03564795797340261
0.72504 0.035962677392704735
0.72702 0.03627817118739498
0.72901 0.036594453452449605
0.73100 0.03691153846125507
0.73299 0.03722944066479869
0.73498 0.037548174690743764
0.73697 0.037867755342385415
0.73896 0.038188197597480815
0.74095 0.03850951660695873
0.74294 0.03883172769349543
0.74493 0.039154846349960956
0.74691 0.03947888823772941
0.74890 0.03980386918485193
0.75089 0.040129805184087444
0.75288 0.04045671239078947
0.75487 0.04078460712064566
0.75686 0.041113505847267716
0.75885 0.041443425199627536
0.76084 0.04177438195933733
0.76283 0.04210639305777177
0.76482 0.04243947557302958
0.76681 0.04277364672672625
0.76879 0.04310892388062912
0.77078 0.04344532453311354
0.77277 0.04378286631545484
0.77476 0.04412156698794258
0.77675 0.044461444435821784
0.77874 0.0448025166650522
0.78073 0.04514480179789302
0.78272 0.04548831806830034
0.78471 0.04583308381714524
0.78670 0.046179117487244785
0.78868 0.046526437618208696
0.79067 0.04687506284109386
0.79266 0.04722501187287673
0.79465 0.047576303510731596
0.79664 0.047928956626117486
0.79863 0.0482829901586798
0.80062 0.048638423109956065
0.80261 0.04899527453688992
0.80460 0.049353563545159004
0.80659 0.0497133092823058
0.80858 0.05007453093068169
0.81056 0.050437247700201616
0.81255 0.05080147882090736
0.81454 0.05116724353534583
0.81653 0.05153456109076177
0.81852 0.05190345073110217
0.82051 0.05227393168884555
0.82250 0.05264602317664478
0.82449 0.05301974437879627
0.82648 0.05339511444253459
0.82847 0.05377215246915488
0.83045 0.05415087750496729
0.83244 0.054531308532089026
0.83443 0.054913464459076224
0.83642 0.05529736411139817
0.83841 0.055683026221762466
0.84040 0.05607046942029604
0.84239 0.056459712224580925
0.84438 0.05685077302956018
0.84637 0.05724367009731061
0.84836 0.057638421546696426
0.85035 0.05803504534290469
0.85233 0.058433559286871634
0.85432 0.05883398100460681
0.85631 0.05923632793642651
0.85830 0.05964061732609416
0.86029 0.060046866209887764
0.86228 0.06045509140559563
0.86427 0.060865309501450096
0.86626 0.06127753684500964
0.86825 0.06169178953200173
0.87024 0.06210808339512535
0.87222 0.06252643399283776
0.87421 0.06294685659812342
0.87620 0.0633693661872652
0.87819 0.06379397742861581
0.88018 0.0642207046713991
0.88217 0.06464956193453178
0.88416 0.06508056289549181
0.88615 0.06551372087924055
0.88814 0.06594904884720534
0.89013 0.06638655938634423
0.89211 0.0668262646982949
0.89410 0.067268176588628
0.89609 0.06771230645621065
0.89808 0.0681586652826997
0.90007 0.06860726362216642
0.90206 0.06905811159088072
0.90405 0.06951121885725026
0.90604 0.0699665946319393
0.90803 0.07042424765817641
0.91002 0.07088418620226285
0.91201 0.07134641804429101
0.91399 0.07181095046909293
0.91598 0.07227779025742578
0.91797 0.0727469436774064
0.91996 0.0732184164762108
0.92195 0.07369221387204589
0.92394 0.07416834054640838
0.92593 0.07464680063664274
0.92792 0.07512759772880746
0.92991 0.07561073485086008
0.93190 0.07609621446617654
0.93388 0.0765840384674097
0.93587 0.0770742081706985
0.93786 0.07756672431024599
0.93985 0.07806158703325455
