eV cross_section
53000
16.00000 0.027423639202711344
16.01968 0.028756258395798172
16.03936 0.03008781096337354
16.05904 0.03141829643188701
16.07872 0.03274771435735978
16.09840 0.03407606432540853
16.11808 0.03540334595127946
16.13776 0.036729558879880574
16.15744 0.038054702785803696
16.17712 0.039378777373359895
16.19680 0.04070178237660794
16.21648 0.04202371755938831
16.23616 0.04334458271534423
16.25585 0.044664377667958104
16.27553 0.04598310227058068
16.29521 0.04730075640646208
16.31489 0.04861733998877959
16.33457 0.04993285296066376
16.35425 0.05124729529524246
16.37393 0.052560666995654134
16.39361 0.053872968095081075
16.41329 0.05518419865679248
16.43297 0.05649435877415403
16.45265 0.057803448570668686
16.47233 0.05911146820000139
16.49201 0.0604184178460138
16.51169 0.06172429772278178
16.53137 0.06302910807462962
16.55105 0.06433284917615681
16.57073 0.06563552133227032
16.59041 0.06693712487819763
16.61009 0.06823766017952755
16.62977 0.06953712763222385
16.64945 0.07083552766266232
16.66913 0.07213286072764333
16.68881 0.07342912731442378
16.70849 0.07472432794073519
16.72817 0.07601846315481495
16.74785 0.07731153353541156
16.76754 0.07860353969182851
16.78722 0.07989448226391528
16.80690 0.08118436192212274
16.82658 0.08247317936748574
16.84626 0.08376093533166139
16.86594 0.08504763057694069
16.88562 0.0863332658962629
16.90530 0.0876178421132279
16.92498 0.08890136008211395
16.94466 0.09018382068787995
16.96434 0.09146522484618405
16.98402 0.09274557350339314
17.00370 0.09402486763658155
17.02338 0.09530310825354246
17.04306 0.09658029639279286
17.06274 0.09785643312357314
17.08242 0.09913151954584756
17.10210 0.10040555679030891
17.12178 0.10167854601836353
17.14146 0.10295048842213987
17.16114 0.10422138522447383
17.18082 0.10549123767890257
17.20050 0.1067600470696439
17.22018 0.10802781471159967
17.23986 0.10929454195032173
17.25955 0.11056023016201244
17.27923 0.11182488075348364
17.29891 0.11308849516214146
17.31859 0.11435107485596491
17.33827 0.11561262133346922
17.35795 0.11687313612367534
17.37763 0.11813262078607797
17.39731 0.11939107691059829
17.41699 0.12064850611754425
17.43667 0.12190491005757725
17.45635 0.12316029041164765
17.47603 0.12441464889094637
17.49571 0.1256679872368509
17.51539 0.12692030722086564
17.53507 0.12817161064455393
17.55475 0.12942189933946463
17.57443 0.1306711751670741
17.59411 0.1319194400186961
17.61379 0.13316669581540164
17.63347 0.13441294450793434
17.65315 0.13565818807661834
17.67283 0.13690242853126075
17.69251 0.13814566791105096
17.71219 0.13938790828444758
17.73187 0.1406291517490769
17.75156 0.14186940043160376
17.77124 0.14310865648760462
17.79092 0.1443469221014575
17.81060 0.14558419948617285
17.83028 0.14682049088328267
17.84996 0.14805579856266318
17.86964 0.14929012482240583
17.88932 0.15052347198862395
17.90900 0.15175584241530193
17.92868 0.15298723848411735
17.94836 0.15421766260423675
17.96804 0.15544711721214444
17.98772 0.1566756047714248
18.00740 0.1579031277725707
18.02708 0.15912968873273053
18.04676 0.1603552901955248
18.06644 0.16157993473076848
18.08612 0.16280362493425812
18.10580 0.16402636342749732
18.12548 0.16524815285744135
18.14516 0.16646899589621733
18.16484 0.1676888952408496
18.18452 0.16890785361294636
18.20420 0.17012587375840602
18.22388 0.17134295844709826
18.24356 0.1725591104725416
18.26325 0.1737743326515512
18.28293 0.17498862782389016
18.30261 0.1762019988519113
18.32229 0.17741444862018207
18.34197 0.17862598003507896
18.36165 0.17983659602440955
18.38133 0.18104629953697587
18.40101 0.1822550935421438
18.42069 0.18346298102942338
18.44037 0.18466996500798386
18.46005 0.18587604850619507
18.47973 0.1870812345711332
18.49941 0.18828552626808068
18.51909 0.18948892668000958
18.53877 0.1906914389070252
18.55845 0.1918930660658572
18.57813 0.1930938112892346
18.59781 0.19429367772535427
18.61749 0.19549266853722624
18.63717 0.19669078690209385
18.65685 0.19788803601077043
18.67653 0.1990844190669717
18.69621 0.200279939286677
18.71589 0.20147459989737423
18.73557 0.20266840413739137
18.75526 0.20386135525511884
18.77494 0.20505345650828224
18.79462 0.2062447111631323
18.81430 0.20743512249366672
18.83398 0.20862469378078163
18.85366 0.20981342831144714
18.87334 0.21100132937780075
18.89302 0.21218840027630625
18.91270 0.21337464430677286
18.93238 0.21456006477146364
18.95206 0.21574466497410058
18.97174 0.21692844821886445
18.99142 0.21811141780940232
19.01110 0.21929357704776362
19.03078 0.22047492923332807
19.05046 0.22165547766169777
19.07014 0.22283522562359875
19.08982 0.22401417640369026
19.10950 0.22519233327940824
19.12918 0.22636969951972027
19.14886 0.2275462783839239
19.16854 0.22872207312033277
19.18822 0.22989708696500327
19.20790 0.23107132314037043
19.22758 0.23224478485391037
19.24726 0.2334174752967143
19.26695 0.2345893976420826
19.28663 0.23576055504404117
19.30631 0.23693095063586736
19.32599 0.23810058752851182
19.34567 0.23926946880909472
19.36535 0.24043759753925442
19.38503 0.24160497675353854
19.40471 0.24277160945773366
19.42439 0.24393749862712638
19.44407 0.24510264720480807
19.46375 0.24626705809984994
19.48343 0.24743073418552064
19.50311 0.24859367829740056
19.52279 0.24975589323150443
19.54247 0.2509173817423483
19.56215 0.25207814654097543
19.58183 0.2532381902929481
19.60151 0.25439751561628854
19.62119 0.25555612507940073
19.64087 0.25671402119895537
19.66055 0.2578712064376782
19.68023 0.2590276832021805
19.69991 0.26018345384068076
19.71959 0.2613385206407338
19.73927 0.26249288582688063
19.75896 0.2636465515582925
19.77864 0.2647995199263306
19.79832 0.26595179295210997
19.81800 0.26710337258398237
19.83768 0.2682542606950204
19.85736 0.2694044590804031
19.87704 0.2705539694548135
19.89672 0.2717027934497696
