Energy(eV)  cross_section(angstrom^2/1e-16cm^2)
53000
30.00000 0.008563541054032484
30.00940 0.00857610228262452
30.01880 0.008588687635562359
30.02820 0.008601297067777389
30.03760 0.008613930534257332
30.04700 0.008626587990046201
30.05640 0.008639269390243877
30.06580 0.008651974690007213
30.07520 0.008664703844548264
30.08460 0.008677456809135476
30.09400 0.008690233539093515
30.10340 0.008703033989802617
30.11280 0.008715858116698868
30.12220 0.008728705875274094
30.13160 0.008741577221075901
30.14100 0.008754472109707565
30.15040 0.00876739049682769
30.15980 0.008780332338150603
30.16920 0.00879329758944592
30.17860 0.008806286206538658
30.18800 0.008819298145309216
30.19740 0.008832333361692897
30.20680 0.0088453918116806
30.21620 0.008858473451317999
30.22560 0.008871578236705879
30.23500 0.00888470612400008
30.24440 0.008897857069411192
30.25381 0.008911031029204828
30.26321 0.008924227959701016
30.27261 0.008937447817274947
30.28201 0.008950690558356046
30.29141 0.008963956139428436
30.30081 0.008977244517031103
30.31021 0.008990555647756781
30.31961 0.009003889488253128
30.32901 0.009017245995222016
30.33841 0.009030625125419321
30.34781 0.009044026835655281
30.35721 0.009057451082794273
30.36661 0.009070897823754772
30.37601 0.009084367015509095
30.38541 0.0090978586150835
30.39481 0.009111372579558323
30.40421 0.009124908866067313
30.41361 0.009138467431798334
30.42301 0.00915204823399275
30.43241 0.009165651229945487
30.44181 0.009179276377005084
30.45121 0.009192923632573654
30.46061 0.009206592954106481
30.47001 0.009220284299112414
30.47941 0.009233997625153536
30.48881 0.009247732889845175
30.49821 0.009261490050855662
30.50761 0.009275269065906819
30.51701 0.009289069892773043
30.52641 0.009302892489281997
30.53581 0.009316736813314146
30.54521 0.009330602822802788
30.55461 0.00934449047573429
30.56401 0.009358399730147295
30.57341 0.009372330544133533
30.58281 0.009386282875837041
30.59221 0.009400256683454511
30.60161 0.009414251925235154
30.61101 0.00942826855948045
30.62041 0.00944230654454446
30.62981 0.009456365838833426
30.63921 0.009470446400805774
30.64861 0.009484548188972111
30.65801 0.009498671161895286
30.66741 0.009512815278189996
30.67681 0.00952698049652319
30.68621 0.0095411667756135
30.69561 0.009555374074231402
30.70501 0.00956960235119957
30.71441 0.009583851565391889
30.72381 0.00959812167573428
30.73321 0.00961241264120424
30.74261 0.00962672442083071
30.75202 0.00964105697369425
30.76142 0.00965541025892684
30.77082 0.009669784235711774
30.78022 0.009684178863283684
30.78962 0.00969859410092859
30.79902 0.009713029907983617
30.80842 0.00972748624383699
30.81782 0.00974196306792802
30.82722 0.009756460339747187
30.83662 0.009770978018835747
30.84602 0.00978551606478602
30.85542 0.009800074437241027
30.86482 0.009814653095894769
30.87422 0.00982925200049168
30.88362 0.00984387111082708
30.89302 0.009858510386746856
30.90242 0.00987316978814741
30.91182 0.009887849274975742
30.92122 0.00990254880722904
30.93062 0.009917268344955146
30.94002 0.009932007848252065
30.94942 0.009946767277268044
30.95882 0.009961546592201524
30.96822 0.00997634575330123
30.97762 0.00999116472086576
30.98702 0.010006003455243839
30.99642 0.010020861916834229
31.00582 0.010035740066085317
31.01522 0.010050637863495693
31.02462 0.010065555269613556
31.03402 0.010080492245036769
31.04342 0.010095448750413053
31.05282 0.010110424746439556
31.06222 0.010125420193863125
