Energy(eV)  cross_section(angstrom^2/1e-16cm^2)
53000
0.00000 8.18098
0.01000 8.288012054697862
0.02000 8.39572162892966
0.03000 8.503907674153304
0.04000 8.612339981825759
0.05000 8.720760995546627
0.06000 8.82888883634599
0.07000 8.936421577669142
0.08000 9.043042728406245
0.09000 9.148427793547032
0.10000 9.252251690501437
0.11000 9.35419671453132
0.12000 9.453960679517683
0.13000 9.551264820009646
0.14000 9.645861034181848
0.15000 9.737538078001004
0.16000 9.826126386810559
0.17000 9.911501295159134
0.18000 9.993584538660366
0.19000 10.072344040418649
0.20000 10.147792096335715
0.21000 10.219982167424856
0.22000 10.28900455532578
0.23000 10.354981275753197
0.24000 10.418060453839766
0.25001 10.478410548806089
0.26001 10.536214678935366
0.27001 10.591665268344775
0.28001 10.644959181385953
0.29001 10.696293454654475
0.30001 10.74586168514477
0.31001 10.793851089097856
0.32001 10.840440211120146
0.33001 10.88579723753436
0.34001 10.930078851079529
0.35001 10.973429554849142
0.36001 11.015981390299663
0.37001 11.057853975770266
0.38001 11.099154796820828
0.39001 11.139979686599863
0.40001 11.180413442410027
0.41001 11.220530532894543
0.42001 11.26039585828831
0.43001 11.300065533611344
0.44001 11.3395876713268
0.45001 11.379003145749682
0.46001 11.418346326363853
0.47001 11.45764577122645
0.48001 11.496924874883792
0.49001 11.536202467783253
0.50001 11.575493366136389
0.51001 11.614808872665373
0.52001 11.654157229734299
0.53001 11.693544027108407
0.54001 11.732972567065234
0.55001 11.772444189861266
0.56001 11.811958562682959
0.57001 11.851513935222561
0.58001 11.891107364948418
0.59001 11.930734915011435
0.60001 11.970391827564246
0.61001 12.01007267508196
0.62001 12.049771492074855
0.63001 12.089481889382158
0.64001 12.129197153038323
0.65001 12.168910329512757
0.66001 12.208614298944081
0.67001 12.248301837821533
0.68001 12.287965672410813
0.69001 12.327598524079038
0.70001 12.367193147543587
0.71001 12.406742362952311
0.72001 12.44623908259672
0.73001 12.48567633296484
0.74001 12.525047272755724
0.75002 12.56434520740213
0.76002 12.603563600580562
0.77002 12.642696083128712
0.78002 12.681736459737545
0.79002 12.720678713738796
0.80002 12.759517010267976
0.81002 12.798245698046648
0.82002 12.836859309996338
0.83002 12.875352562868425
0.84002 12.913720356050224
0.85002 12.951957769685844
0.86002 12.99006006223199
0.87002 13.028022667552275
0.88002 13.065841191639553
0.89002 13.103511409043143
0.90002 13.141029259067071
0.91002 13.178390841795839
0.92002 13.215592413996177
0.93002 13.252630384935818
0.94002 13.289501312154318
0.95002 13.326201897215318
0.96002 13.362728981465192
0.97002 13.399079541818656
0.98002 13.43525068658867
0.99002 13.471239651374718
1.00002 13.50704379502108
1.01002 13.542660595654239
1.02002 13.578087646806964
1.03002 13.613322653634478
1.04002 13.64836342922719
1.05002 13.683207891022807
1.06002 13.717854057319963
1.07002 13.752300043894357
1.08002 13.786544060717858
1.09002 13.820584408780215
1.10002 13.854419477012726
1.11002 13.888047739312553
1.12002 13.921467751666148
1.13002 13.954678149370025
1.14002 13.98767764434671
1.15002 14.020465022553658
1.16002 14.053039141482797
1.17002 14.085398927748084
1.18002 14.117543374758684
1.19002 14.14947154047503
1.20002 14.181182545245166
1.21002 14.212675569718824
1.22002 14.243949852836494
1.23002 14.275004689891
1.24002 14.305839430658901
1.25003 14.336453477599383
1.26003 14.366846284117935
1.27003 14.397017352892655
1.28003 14.42696623426063
1.29003 14.456692524662209
1.30003 14.486195865140967
1.31003 14.515475939897138
1.32003 14.544532474892469
1.33003 14.573365236504568
1.34003 14.601974030228618
1.35003 14.630358699424773
1.36003 14.658519124109326
1.37003 14.686455219787968
1.38003 14.714166936329383
1.39003 14.741654256877705
1.40003 14.76891719680216
1.41003 14.795955802682508
1.42003 14.822770151328799
1.43003 14.849360348834153
1.44003 14.875726529659131
1.45003 14.901868855746585
1.46003 14.927787515665706
1.47003 14.953482723784091
1.48003 14.978954719466842
1.49003 15.004203766301451
1.50003 15.029230151347699
1.51003 15.05403418441134
1.52003 15.0786161973409
1.53003 15.102976543346436
1.54003 15.1271155963397
1.55003 15.151033750294568
1.56003 15.17473141862726
1.57003 15.1982090335954
1.58003 15.221467045715272
1.59003 15.244505923196618
1.60003 15.267326151394252
1.61003 15.289928232275933
1.62003 15.312312683905866
