8
z(m)    R(m)    I(A)
3.625    6.01    1.997e4
-3.625    6.01    1.997e4
0.0    2.385    2.095e4
0.0    9.635    2.0e4
2.561754254920789    8.484264781706207    -1.99775e4
-2.561754254920789    8.484264781706207    -1.99775e4
2.5838537179184247    3.5568370847154855    -1.99805e4
-2.5838537179184247    3.5568370847154855    -1.99805e4
