     0.50000 -9.0271E-03  1.4690E-03  2.8943E-04 -2.0011E+00
     1.00000 -9.2104E-03  1.6497E-03  2.8964E-04 -2.0011E+00
     1.50000 -9.5001E-03  1.9300E-03  2.8987E-04 -2.0011E+00
     2.00000 -9.7577E-03  2.1808E-03  2.9006E-04 -2.0011E+00
     2.50000 -9.8719E-03  2.2881E-03  2.9015E-04 -2.0012E+00
     3.00000 -9.7749E-03  2.2064E-03  2.9012E-04 -2.0011E+00
     3.50000 -9.5309E-03  1.9791E-03  2.9001E-04 -2.0011E+00
     4.00000 -9.2790E-03  1.7119E-03  2.8989E-04 -2.0011E+00
     4.50000 -9.0804E-03  1.5221E-03  2.8982E-04 -2.0011E+00
     5.00000 -9.0412E-03  1.4839E-03  2.8986E-04 -2.0011E+00
